reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
cbda8026-4ab5-4779-9e34-3ee5e6c0cc49,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus banget aja sih gak ada ulasan lain,5,0,3.6.2,2025-04-05 06:59:40,,,3.6.2
74f4f6ec-afe7-4a8c-8a90-712f8eaaba84,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat bagus,4,0,3.6.2,2025-04-05 06:26:32,,,3.6.2
1cfcc4c0-e212-4600-9db7-302715f134d7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,seru,5,0,3.6.2,2025-04-05 06:16:58,,,3.6.2
a4a908fc-b9f4-423a-8277-cb625b025229,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya udah baca banyak tapi malah kehapus sendiri dari webtoon, saya agak kecewa",3,0,3.6.2,2025-04-05 05:53:06,,,3.6.2
3f1c79bf-b7d3-4766-8df3-4a3bbd5b289c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,seru,4,0,3.6.2,2025-04-05 05:43:05,,,3.6.2
4b14a1fd-7ddf-4e9e-8746-b05036fe62bf,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"GILA MIN BAGUS BGT, GA BOSEN AKU BUAT BACA MANHWA NYA , btw daily pass mulu hiks, kurangin napa min hueueueue",4,0,3.6.2,2025-04-05 05:21:16,,,3.6.2
6fb8fec4-0cb6-45d2-a895-f6fdd5243b69,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,yaa adaa +- laa,5,0,3.6.2,2025-04-05 05:06:54,,,3.6.2
77137fba-a217-47c4-92a3-a5cd778b7390,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,keren,4,0,3.6.2,2025-04-05 04:52:06,,,3.6.2
884a1303-9db0-49a2-96db-04ae93cb641d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus banget!!!!!,5,0,,2025-04-05 04:46:49,,,
c1756d2d-b7a0-456a-af59-cc560314bf59,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,happyy bgt bisa baca manhwa apa aja ya walaupun ada yg pake koin tpi ak kasih bintang 5 aj cocok buat anak kuper yg dirumah terusss hilingnya liat mahwa aj 🙂😘,5,0,3.6.2,2025-04-05 04:19:27,,,3.6.2
9abd239a-5bed-4eec-8c3a-d77735246920,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gambarnya bagus,5,0,3.6.2,2025-04-05 04:15:27,,,3.6.2
3ec611dc-3876-4d50-aa52-a69abb5cef55,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,suka banget bisa ku baca semau ku dan ya orang yang kaya aku butu kalo lagi gabut nie aku sampe bawa ke status🤣,5,0,3.6.2,2025-04-05 03:40:01,,,3.6.2
e22bfcd0-831d-4914-94da-218217bd35b7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ga ada manga anime,1,0,,2025-04-05 03:35:47,,,
1c4fd187-f990-4565-8591-81d821721993,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,apik😁,5,0,3.6.2,2025-04-05 02:48:46,,,3.6.2
998c22d2-eae1-49e4-832c-d43765dcd0a7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus bagus aja,5,0,3.6.2,2025-04-05 02:32:22,,,3.6.2
ef6fadd5-8f95-4d49-8ebe-275e5de50d62,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bagus, berguna, seru",4,0,3.6.2,2025-04-05 02:17:25,,,3.6.2
04700369-7060-4f6b-90ee-34b791ab212b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"banyakin genre komedi nya lah, komik plagiat kok di bela",2,0,3.6.2,2025-04-05 01:28:10,,,3.6.2
84d049f1-3709-4cf9-bad0-e21b1e545f57,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,nice,5,0,3.6.2,2025-04-05 01:27:58,,,3.6.2
8da48534-9d34-47ec-823f-761c435c69d2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,webtoon bagus apalagi karya karyanya kita bisa baca sepuas nya di webtoon,5,0,3.6.2,2025-04-05 01:01:15,,,3.6.2
16a68cf8-f2c1-4fcc-9f55-f50b2ad05dbc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantep lengkap komiknya,5,0,3.6.2,2025-04-05 00:56:53,,,3.6.2
164f09b5-5996-4296-9f8e-80eef360c98a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,👍,5,0,3.6.2,2025-04-05 00:55:47,,,3.6.2
abc542be-f3e9-4f36-a976-88e0b28ad373,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,apk ini sangat seruu.anda harus mencobanya sekarang!,5,0,3.6.2,2025-04-05 00:54:58,,,3.6.2
83d5b4b8-5a97-46d7-b60a-426089ecd886,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,keren,5,0,3.6.2,2025-04-04 23:35:10,,,3.6.2
d62a0cdf-67d9-4d52-8fa5-6e49a14d7eee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus banget!!!!!!!,5,0,,2025-04-04 22:55:34,,,
