reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
3280213f-6726-41c1-9297-d45c499dcdac,Pengguna Google,apik jan,5,0,374.0.0.43.67,2025-04-07 23:17:13,374.0.0.43.67
d9ab1b0f-f493-42ad-8dc4-2259e0ed8890,Pengguna Google,dm nya knp gbs dibuka,3,0,373.0.0.46.67,2025-04-07 12:34:05,373.0.0.46.67
d19d8637-3cbe-48d9-9f3e-4075fe6d0ecc,Pengguna Google,sangat bagus dan aplikasi nya berjalan lancar,5,0,374.0.0.43.67,2025-04-06 03:10:43,374.0.0.43.67
6ec1b2d2-c75a-45f1-b2cf-5828832a61a5,Pengguna Google,oke bagus',5,0,374.0.0.43.67,2025-04-06 03:09:02,374.0.0.43.67
bc8b7d5f-328e-47ac-8ca6-850985a09dc3,Pengguna Google,👍👍👍👍👍,5,0,,2025-04-06 03:08:54,
f925126c-a554-49a4-a18f-3f2f7c3f72b2,Pengguna Google,dengan instagram ini saya jadi lebih asik ke seseorang,5,0,374.0.0.43.67,2025-04-06 03:08:32,374.0.0.43.67
2d161ba5-db6d-48a1-bcfc-96d75328f2dc,Pengguna Google,Baik,4,0,,2025-04-06 03:06:03,
8964083a-4696-4305-a783-2dd26b1a821e,Pengguna Google,bagus pol,5,0,374.0.0.43.67,2025-04-06 03:05:53,374.0.0.43.67
6317f07e-e835-4a38-9ec7-22056af113c2,Pengguna Google,bisa gk tglnya ditaruh disamping nama,4,0,374.0.0.43.67,2025-04-06 03:02:34,374.0.0.43.67
0bfabcb2-056e-46bb-99e2-e60cf1cdd76c,Pengguna Google,krna tidak bisa bikin sorotan,3,0,374.0.0.43.67,2025-04-06 03:01:11,374.0.0.43.67
120676d4-f5e5-498c-baad-60df6339902d,Pengguna Google,bagus saya suka,5,0,,2025-04-06 02:56:40,
6d1e4780-0f50-441a-9106-2754a44699e9,Pengguna Google,👍👍,5,0,,2025-04-06 02:48:15,
71a59b31-8e90-4a03-aeeb-3e61148d7c52,Pengguna Google,Alpikasi ini bisa memperluas wawasan ok banget ...,5,0,374.0.0.43.67,2025-04-06 02:43:13,374.0.0.43.67
d647380d-27ad-4b98-868c-0212f318ddc8,Pengguna Google,mantap,5,0,374.0.0.43.67,2025-04-06 02:42:09,374.0.0.43.67
6f8fc94a-ddff-4a03-9262-80418e715e62,Pengguna Google,kenapa tiba tiba fitur sorotan sama catat an setelah di update tidak ada ?,1,3,374.0.0.43.67,2025-04-06 02:38:04,374.0.0.43.67
b35d0935-adb8-4b92-8b62-c1b73b9243f5,Pengguna Google,Josssss,5,0,374.0.0.43.67,2025-04-06 02:37:10,374.0.0.43.67
bbd6a77a-7564-4b64-987a-528ad9fbe02e,Pengguna Google,baik menyenangkan,5,0,,2025-04-06 02:35:22,
a4b46761-87c8-4d27-be9a-54abd2b7a59e,Pengguna Google,sangat bagus apk ini kusuka,5,0,,2025-04-06 02:33:38,
03e55011-02c8-4982-8af7-932d8788835b,Pengguna Google,semoga lebih baik,5,0,374.0.0.43.67,2025-04-06 02:31:44,374.0.0.43.67
ef705f9c-122d-4078-82c3-0747f7a50774,Pengguna Google,sangat bagus,5,0,,2025-04-06 02:28:10,
a8209a19-3a20-4421-adc2-e03feb50b582,Pengguna Google,Kena suspand padahal gk ngapa ngapain.,1,1,374.0.0.43.67,2025-04-06 02:24:19,374.0.0.43.67
cf002904-4085-486d-a7ab-3e6fced7fcda,Pengguna Google,bagus banget 👍👍👍👍👍👍👍✌✌👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍aku suka,5,0,,2025-04-06 02:20:07,
06f50922-b96d-41f8-bff8-df964172f978,Pengguna Google,Jelek kayes ga ngefollow gw,5,0,373.0.0.46.67,2025-04-06 02:19:41,373.0.0.46.67
2a6ebea2-147a-4610-9055-f9606a809f90,Pengguna Google,bagus bangett,5,0,,2025-04-06 02:11:39,
aea24e22-32f9-44b4-ba41-53bd0d63499c,Pengguna Google,makasih,5,0,374.0.0.43.67,2025-04-06 02:11:11,374.0.0.43.67
8a573f25-89f4-4a77-b4c7-1d6acae8bfd7,Pengguna Google,kenapa catatan postingan dihapus haaa,3,1,370.1.0.43.96,2025-04-06 02:10:38,370.1.0.43.96
